time,Hand_fighting,high_collar_grip,left_hand,left_leg,leg_inside,leg_outside,low_collar_grip,over_hook,posture_gain,posture_lost,reset,right_hand,right_leg,sleeve_grip,stepping_backwards,stepping_foward
177.238,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0
178.238,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0
179.238,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
180.238,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
181.238,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
182.238,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0
183.238,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
184.238,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
185.238,0,0,1,1,1,0,0,0,0,0,0,0,2,1,1,1
186.238,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0
187.238,0,0,0,1,0,0,1,0,0,1,0,0,1,1,2,0
188.238,0,0,1,1,0,0,1,0,0,0,0,0,1,1,2,0
189.238,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
190.238,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
191.238,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
192.238,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0
193.238,0,0,0,2,1,0,1,0,0,0,0,0,1,1,2,1
194.238,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
195.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196.238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
197.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211.238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
212.238,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4
213.238,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2
214.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
215.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
216.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
217.238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
218.238,2,0,1,2,0,0,0,0,0,0,0,1,1,0,2,1
219.238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
220.238,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
221.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
222.238,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2
223.238,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
224.238,1,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0
225.238,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0
226.238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
227.238,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0
228.238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
229.238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
230.238,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0
231.238,1,0,1,1,0,0,0,0,0,0,0,1,1,0,2,0
232.238,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
233.238,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0
234.238,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
235.238,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
236.238,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0
237.238,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
238.238,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0
239.238,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
240.238,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
241.238,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1
242.238,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0
243.238,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1
244.238,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
245.238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
246.238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
